Judul Berita,Link Berita,Link Image
"Udara Jakarta Lagi Tak Sehat, Waspada 5 Penyakit Akibat Polusi Ini",https://www.cnnindonesia.com/gaya-hidup/20230530173747-255-955933/udara-jakarta-lagi-tak-sehat-waspada-5-penyakit-akibat-polusi-ini,https://akcdn.detik.net.id/visual/2022/06/15/udara-jakarta-hari-ini-peringkat-terburuk-dunia-2_169.jpeg?w=500&q=90
"5 Manfaat Susu, Salah Satunya Bisa Turunkan Berat Badan",https://www.cnnindonesia.com/gaya-hidup/20230531160852-262-956352/5-manfaat-susu-salah-satunya-bisa-turunkan-berat-badan,https://akcdn.detik.net.id/visual/2021/09/09/ilustrasi-pria-minum-susu_169.jpeg?w=500&q=90
Poin-poin Aturan soal PNS Boleh Poligami,https://www.cnnindonesia.com/nasional/20230531203331-20-956502/poin-poin-aturan-soal-pns-boleh-poligami,https://akcdn.detik.net.id/visual/2019/06/01/2fe3511f-1400-40a4-98b0-452ccbe213e1_169.jpeg?w=500&q=90
"Polusi Udara Meningkat, Hindari 5 Kebiasaan yang Buat Paru-paru Lemah",https://www.cnnindonesia.com/gaya-hidup/20230531133604-255-956254/polusi-udara-meningkat-hindari-5-kebiasaan-yang-buat-paru-paru-lemah,https://akcdn.detik.net.id/visual/2020/08/26/1210040524-1_169.jpeg?w=500&q=90
Kemendag Klaim Warga Bengkalis Tak Konsumsi Daging Kerbau Ilegal,https://www.cnnindonesia.com/ekonomi/20230531141411-92-956292/kemendag-klaim-warga-bengkalis-tak-konsumsi-daging-kerbau-ilegal,https://akcdn.detik.net.id/visual/2023/05/31/logo-kementerian-perdagangan_169.jpeg?w=500&q=90
Rekan Buronan Kasus 1MDB Malaysia Meninggal usai Diinterogasi,https://www.cnnindonesia.com/internasional/20230531162733-106-956368/rekan-buronan-kasus-1mdb-malaysia-meninggal-usai-diinterogasi,https://akcdn.detik.net.id/visual/2019/11/07/b20377da-7029-4afc-a5f5-330b697ee0c1_169.jpeg?w=500&q=90
"VIDEO: Latah, Penyakit atau Sekedar Cari Perhatian?",https://www.cnnindonesia.com/tv/20230531133600-434-956253/video-latah-penyakit-atau-sekedar-cari-perhatian,https://akcdn.detik.net.id/visual/2023/05/31/latah-penyakit-atau-sekedar-cari-perhatian_169.jpeg?w=500&q=90
"Sinopsis Elysium, Bioskop Trans TV 1 Juni 2023",https://www.cnnindonesia.com/hiburan/20230531135831-220-956286/sinopsis-elysium-bioskop-trans-tv-1-juni-2023,https://akcdn.detik.net.id/visual/2023/02/03/film-elysium-2013-2_169.png?w=500&q=90
Apakah Penderita Diabetes Bisa Sembuh Total?,https://www.cnnindonesia.com/gaya-hidup/20230531120330-255-956181/apakah-penderita-diabetes-bisa-sembuh-total,https://akcdn.detik.net.id/visual/2020/11/09/ilustrasi-diabetes-3_169.jpeg?w=500&q=90
Kenapa Masih Muda Kena Diabetes? Ini 9 Penyebabnya,https://www.cnnindonesia.com/gaya-hidup/20230530161702-255-955872/kenapa-masih-muda-kena-diabetes-ini-9-penyebabnya,https://akcdn.detik.net.id/visual/2023/04/11/ilustrasi-pertemanan-perempuan_169.jpeg?w=500&q=90
"Udara Jakarta Lagi Tak Sehat, Waspada 5 Penyakit Akibat Polusi Ini",https://www.cnnindonesia.com/gaya-hidup/20230530173747-255-955933/udara-jakarta-lagi-tak-sehat-waspada-5-penyakit-akibat-polusi-ini,https://akcdn.detik.net.id/visual/2022/06/15/udara-jakarta-hari-ini-peringkat-terburuk-dunia-2_169.jpeg?w=500&q=90
"5 Manfaat Susu, Salah Satunya Bisa Turunkan Berat Badan",https://www.cnnindonesia.com/gaya-hidup/20230531160852-262-956352/5-manfaat-susu-salah-satunya-bisa-turunkan-berat-badan,https://akcdn.detik.net.id/visual/2021/09/09/ilustrasi-pria-minum-susu_169.jpeg?w=500&q=90
Poin-poin Aturan soal PNS Boleh Poligami,https://www.cnnindonesia.com/nasional/20230531203331-20-956502/poin-poin-aturan-soal-pns-boleh-poligami,https://akcdn.detik.net.id/visual/2019/06/01/2fe3511f-1400-40a4-98b0-452ccbe213e1_169.jpeg?w=500&q=90
"Polusi Udara Meningkat, Hindari 5 Kebiasaan yang Buat Paru-paru Lemah",https://www.cnnindonesia.com/gaya-hidup/20230531133604-255-956254/polusi-udara-meningkat-hindari-5-kebiasaan-yang-buat-paru-paru-lemah,https://akcdn.detik.net.id/visual/2020/08/26/1210040524-1_169.jpeg?w=500&q=90
Kemendag Klaim Warga Bengkalis Tak Konsumsi Daging Kerbau Ilegal,https://www.cnnindonesia.com/ekonomi/20230531141411-92-956292/kemendag-klaim-warga-bengkalis-tak-konsumsi-daging-kerbau-ilegal,https://akcdn.detik.net.id/visual/2023/05/31/logo-kementerian-perdagangan_169.jpeg?w=500&q=90
Rekan Buronan Kasus 1MDB Malaysia Meninggal usai Diinterogasi,https://www.cnnindonesia.com/internasional/20230531162733-106-956368/rekan-buronan-kasus-1mdb-malaysia-meninggal-usai-diinterogasi,https://akcdn.detik.net.id/visual/2019/11/07/b20377da-7029-4afc-a5f5-330b697ee0c1_169.jpeg?w=500&q=90
"VIDEO: Latah, Penyakit atau Sekedar Cari Perhatian?",https://www.cnnindonesia.com/tv/20230531133600-434-956253/video-latah-penyakit-atau-sekedar-cari-perhatian,https://akcdn.detik.net.id/visual/2023/05/31/latah-penyakit-atau-sekedar-cari-perhatian_169.jpeg?w=500&q=90
"Sinopsis Elysium, Bioskop Trans TV 1 Juni 2023",https://www.cnnindonesia.com/hiburan/20230531135831-220-956286/sinopsis-elysium-bioskop-trans-tv-1-juni-2023,https://akcdn.detik.net.id/visual/2023/02/03/film-elysium-2013-2_169.png?w=500&q=90
Apakah Penderita Diabetes Bisa Sembuh Total?,https://www.cnnindonesia.com/gaya-hidup/20230531120330-255-956181/apakah-penderita-diabetes-bisa-sembuh-total,https://akcdn.detik.net.id/visual/2020/11/09/ilustrasi-diabetes-3_169.jpeg?w=500&q=90
Kenapa Masih Muda Kena Diabetes? Ini 9 Penyebabnya,https://www.cnnindonesia.com/gaya-hidup/20230530161702-255-955872/kenapa-masih-muda-kena-diabetes-ini-9-penyebabnya,https://akcdn.detik.net.id/visual/2023/04/11/ilustrasi-pertemanan-perempuan_169.jpeg?w=500&q=90
"Udara Jakarta Lagi Tak Sehat, Waspada 5 Penyakit Akibat Polusi Ini",https://www.cnnindonesia.com/gaya-hidup/20230530173747-255-955933/udara-jakarta-lagi-tak-sehat-waspada-5-penyakit-akibat-polusi-ini,https://akcdn.detik.net.id/visual/2022/06/15/udara-jakarta-hari-ini-peringkat-terburuk-dunia-2_169.jpeg?w=500&q=90
"5 Manfaat Susu, Salah Satunya Bisa Turunkan Berat Badan",https://www.cnnindonesia.com/gaya-hidup/20230531160852-262-956352/5-manfaat-susu-salah-satunya-bisa-turunkan-berat-badan,https://akcdn.detik.net.id/visual/2021/09/09/ilustrasi-pria-minum-susu_169.jpeg?w=500&q=90
Poin-poin Aturan soal PNS Boleh Poligami,https://www.cnnindonesia.com/nasional/20230531203331-20-956502/poin-poin-aturan-soal-pns-boleh-poligami,https://akcdn.detik.net.id/visual/2019/06/01/2fe3511f-1400-40a4-98b0-452ccbe213e1_169.jpeg?w=500&q=90
"Polusi Udara Meningkat, Hindari 5 Kebiasaan yang Buat Paru-paru Lemah",https://www.cnnindonesia.com/gaya-hidup/20230531133604-255-956254/polusi-udara-meningkat-hindari-5-kebiasaan-yang-buat-paru-paru-lemah,https://akcdn.detik.net.id/visual/2020/08/26/1210040524-1_169.jpeg?w=500&q=90
Kemendag Klaim Warga Bengkalis Tak Konsumsi Daging Kerbau Ilegal,https://www.cnnindonesia.com/ekonomi/20230531141411-92-956292/kemendag-klaim-warga-bengkalis-tak-konsumsi-daging-kerbau-ilegal,https://akcdn.detik.net.id/visual/2023/05/31/logo-kementerian-perdagangan_169.jpeg?w=500&q=90
Rekan Buronan Kasus 1MDB Malaysia Meninggal usai Diinterogasi,https://www.cnnindonesia.com/internasional/20230531162733-106-956368/rekan-buronan-kasus-1mdb-malaysia-meninggal-usai-diinterogasi,https://akcdn.detik.net.id/visual/2019/11/07/b20377da-7029-4afc-a5f5-330b697ee0c1_169.jpeg?w=500&q=90
"VIDEO: Latah, Penyakit atau Sekedar Cari Perhatian?",https://www.cnnindonesia.com/tv/20230531133600-434-956253/video-latah-penyakit-atau-sekedar-cari-perhatian,https://akcdn.detik.net.id/visual/2023/05/31/latah-penyakit-atau-sekedar-cari-perhatian_169.jpeg?w=500&q=90
"Sinopsis Elysium, Bioskop Trans TV 1 Juni 2023",https://www.cnnindonesia.com/hiburan/20230531135831-220-956286/sinopsis-elysium-bioskop-trans-tv-1-juni-2023,https://akcdn.detik.net.id/visual/2023/02/03/film-elysium-2013-2_169.png?w=500&q=90
Apakah Penderita Diabetes Bisa Sembuh Total?,https://www.cnnindonesia.com/gaya-hidup/20230531120330-255-956181/apakah-penderita-diabetes-bisa-sembuh-total,https://akcdn.detik.net.id/visual/2020/11/09/ilustrasi-diabetes-3_169.jpeg?w=500&q=90
Kenapa Masih Muda Kena Diabetes? Ini 9 Penyebabnya,https://www.cnnindonesia.com/gaya-hidup/20230530161702-255-955872/kenapa-masih-muda-kena-diabetes-ini-9-penyebabnya,https://akcdn.detik.net.id/visual/2023/04/11/ilustrasi-pertemanan-perempuan_169.jpeg?w=500&q=90
"Udara Jakarta Lagi Tak Sehat, Waspada 5 Penyakit Akibat Polusi Ini",https://www.cnnindonesia.com/gaya-hidup/20230530173747-255-955933/udara-jakarta-lagi-tak-sehat-waspada-5-penyakit-akibat-polusi-ini,https://akcdn.detik.net.id/visual/2022/06/15/udara-jakarta-hari-ini-peringkat-terburuk-dunia-2_169.jpeg?w=500&q=90
"5 Manfaat Susu, Salah Satunya Bisa Turunkan Berat Badan",https://www.cnnindonesia.com/gaya-hidup/20230531160852-262-956352/5-manfaat-susu-salah-satunya-bisa-turunkan-berat-badan,https://akcdn.detik.net.id/visual/2021/09/09/ilustrasi-pria-minum-susu_169.jpeg?w=500&q=90
Poin-poin Aturan soal PNS Boleh Poligami,https://www.cnnindonesia.com/nasional/20230531203331-20-956502/poin-poin-aturan-soal-pns-boleh-poligami,https://akcdn.detik.net.id/visual/2019/06/01/2fe3511f-1400-40a4-98b0-452ccbe213e1_169.jpeg?w=500&q=90
"Polusi Udara Meningkat, Hindari 5 Kebiasaan yang Buat Paru-paru Lemah",https://www.cnnindonesia.com/gaya-hidup/20230531133604-255-956254/polusi-udara-meningkat-hindari-5-kebiasaan-yang-buat-paru-paru-lemah,https://akcdn.detik.net.id/visual/2020/08/26/1210040524-1_169.jpeg?w=500&q=90
Kemendag Klaim Warga Bengkalis Tak Konsumsi Daging Kerbau Ilegal,https://www.cnnindonesia.com/ekonomi/20230531141411-92-956292/kemendag-klaim-warga-bengkalis-tak-konsumsi-daging-kerbau-ilegal,https://akcdn.detik.net.id/visual/2023/05/31/logo-kementerian-perdagangan_169.jpeg?w=500&q=90
Rekan Buronan Kasus 1MDB Malaysia Meninggal usai Diinterogasi,https://www.cnnindonesia.com/internasional/20230531162733-106-956368/rekan-buronan-kasus-1mdb-malaysia-meninggal-usai-diinterogasi,https://akcdn.detik.net.id/visual/2019/11/07/b20377da-7029-4afc-a5f5-330b697ee0c1_169.jpeg?w=500&q=90
"VIDEO: Latah, Penyakit atau Sekedar Cari Perhatian?",https://www.cnnindonesia.com/tv/20230531133600-434-956253/video-latah-penyakit-atau-sekedar-cari-perhatian,https://akcdn.detik.net.id/visual/2023/05/31/latah-penyakit-atau-sekedar-cari-perhatian_169.jpeg?w=500&q=90
"Sinopsis Elysium, Bioskop Trans TV 1 Juni 2023",https://www.cnnindonesia.com/hiburan/20230531135831-220-956286/sinopsis-elysium-bioskop-trans-tv-1-juni-2023,https://akcdn.detik.net.id/visual/2023/02/03/film-elysium-2013-2_169.png?w=500&q=90
Apakah Penderita Diabetes Bisa Sembuh Total?,https://www.cnnindonesia.com/gaya-hidup/20230531120330-255-956181/apakah-penderita-diabetes-bisa-sembuh-total,https://akcdn.detik.net.id/visual/2020/11/09/ilustrasi-diabetes-3_169.jpeg?w=500&q=90
Kenapa Masih Muda Kena Diabetes? Ini 9 Penyebabnya,https://www.cnnindonesia.com/gaya-hidup/20230530161702-255-955872/kenapa-masih-muda-kena-diabetes-ini-9-penyebabnya,https://akcdn.detik.net.id/visual/2023/04/11/ilustrasi-pertemanan-perempuan_169.jpeg?w=500&q=90
"Udara Jakarta Lagi Tak Sehat, Waspada 5 Penyakit Akibat Polusi Ini",https://www.cnnindonesia.com/gaya-hidup/20230530173747-255-955933/udara-jakarta-lagi-tak-sehat-waspada-5-penyakit-akibat-polusi-ini,https://akcdn.detik.net.id/visual/2022/06/15/udara-jakarta-hari-ini-peringkat-terburuk-dunia-2_169.jpeg?w=500&q=90
"5 Manfaat Susu, Salah Satunya Bisa Turunkan Berat Badan",https://www.cnnindonesia.com/gaya-hidup/20230531160852-262-956352/5-manfaat-susu-salah-satunya-bisa-turunkan-berat-badan,https://akcdn.detik.net.id/visual/2021/09/09/ilustrasi-pria-minum-susu_169.jpeg?w=500&q=90
Poin-poin Aturan soal PNS Boleh Poligami,https://www.cnnindonesia.com/nasional/20230531203331-20-956502/poin-poin-aturan-soal-pns-boleh-poligami,https://akcdn.detik.net.id/visual/2019/06/01/2fe3511f-1400-40a4-98b0-452ccbe213e1_169.jpeg?w=500&q=90
"Polusi Udara Meningkat, Hindari 5 Kebiasaan yang Buat Paru-paru Lemah",https://www.cnnindonesia.com/gaya-hidup/20230531133604-255-956254/polusi-udara-meningkat-hindari-5-kebiasaan-yang-buat-paru-paru-lemah,https://akcdn.detik.net.id/visual/2020/08/26/1210040524-1_169.jpeg?w=500&q=90
Kemendag Klaim Warga Bengkalis Tak Konsumsi Daging Kerbau Ilegal,https://www.cnnindonesia.com/ekonomi/20230531141411-92-956292/kemendag-klaim-warga-bengkalis-tak-konsumsi-daging-kerbau-ilegal,https://akcdn.detik.net.id/visual/2023/05/31/logo-kementerian-perdagangan_169.jpeg?w=500&q=90
Rekan Buronan Kasus 1MDB Malaysia Meninggal usai Diinterogasi,https://www.cnnindonesia.com/internasional/20230531162733-106-956368/rekan-buronan-kasus-1mdb-malaysia-meninggal-usai-diinterogasi,https://akcdn.detik.net.id/visual/2019/11/07/b20377da-7029-4afc-a5f5-330b697ee0c1_169.jpeg?w=500&q=90
"VIDEO: Latah, Penyakit atau Sekedar Cari Perhatian?",https://www.cnnindonesia.com/tv/20230531133600-434-956253/video-latah-penyakit-atau-sekedar-cari-perhatian,https://akcdn.detik.net.id/visual/2023/05/31/latah-penyakit-atau-sekedar-cari-perhatian_169.jpeg?w=500&q=90
"Sinopsis Elysium, Bioskop Trans TV 1 Juni 2023",https://www.cnnindonesia.com/hiburan/20230531135831-220-956286/sinopsis-elysium-bioskop-trans-tv-1-juni-2023,https://akcdn.detik.net.id/visual/2023/02/03/film-elysium-2013-2_169.png?w=500&q=90
Apakah Penderita Diabetes Bisa Sembuh Total?,https://www.cnnindonesia.com/gaya-hidup/20230531120330-255-956181/apakah-penderita-diabetes-bisa-sembuh-total,https://akcdn.detik.net.id/visual/2020/11/09/ilustrasi-diabetes-3_169.jpeg?w=500&q=90
Kenapa Masih Muda Kena Diabetes? Ini 9 Penyebabnya,https://www.cnnindonesia.com/gaya-hidup/20230530161702-255-955872/kenapa-masih-muda-kena-diabetes-ini-9-penyebabnya,https://akcdn.detik.net.id/visual/2023/04/11/ilustrasi-pertemanan-perempuan_169.jpeg?w=500&q=90
"Udara Jakarta Lagi Tak Sehat, Waspada 5 Penyakit Akibat Polusi Ini",https://www.cnnindonesia.com/gaya-hidup/20230530173747-255-955933/udara-jakarta-lagi-tak-sehat-waspada-5-penyakit-akibat-polusi-ini,https://akcdn.detik.net.id/visual/2022/06/15/udara-jakarta-hari-ini-peringkat-terburuk-dunia-2_169.jpeg?w=500&q=90
"5 Manfaat Susu, Salah Satunya Bisa Turunkan Berat Badan",https://www.cnnindonesia.com/gaya-hidup/20230531160852-262-956352/5-manfaat-susu-salah-satunya-bisa-turunkan-berat-badan,https://akcdn.detik.net.id/visual/2021/09/09/ilustrasi-pria-minum-susu_169.jpeg?w=500&q=90
Poin-poin Aturan soal PNS Boleh Poligami,https://www.cnnindonesia.com/nasional/20230531203331-20-956502/poin-poin-aturan-soal-pns-boleh-poligami,https://akcdn.detik.net.id/visual/2019/06/01/2fe3511f-1400-40a4-98b0-452ccbe213e1_169.jpeg?w=500&q=90
"Polusi Udara Meningkat, Hindari 5 Kebiasaan yang Buat Paru-paru Lemah",https://www.cnnindonesia.com/gaya-hidup/20230531133604-255-956254/polusi-udara-meningkat-hindari-5-kebiasaan-yang-buat-paru-paru-lemah,https://akcdn.detik.net.id/visual/2020/08/26/1210040524-1_169.jpeg?w=500&q=90
Kemendag Klaim Warga Bengkalis Tak Konsumsi Daging Kerbau Ilegal,https://www.cnnindonesia.com/ekonomi/20230531141411-92-956292/kemendag-klaim-warga-bengkalis-tak-konsumsi-daging-kerbau-ilegal,https://akcdn.detik.net.id/visual/2023/05/31/logo-kementerian-perdagangan_169.jpeg?w=500&q=90
Rekan Buronan Kasus 1MDB Malaysia Meninggal usai Diinterogasi,https://www.cnnindonesia.com/internasional/20230531162733-106-956368/rekan-buronan-kasus-1mdb-malaysia-meninggal-usai-diinterogasi,https://akcdn.detik.net.id/visual/2019/11/07/b20377da-7029-4afc-a5f5-330b697ee0c1_169.jpeg?w=500&q=90
"VIDEO: Latah, Penyakit atau Sekedar Cari Perhatian?",https://www.cnnindonesia.com/tv/20230531133600-434-956253/video-latah-penyakit-atau-sekedar-cari-perhatian,https://akcdn.detik.net.id/visual/2023/05/31/latah-penyakit-atau-sekedar-cari-perhatian_169.jpeg?w=500&q=90
"Sinopsis Elysium, Bioskop Trans TV 1 Juni 2023",https://www.cnnindonesia.com/hiburan/20230531135831-220-956286/sinopsis-elysium-bioskop-trans-tv-1-juni-2023,https://akcdn.detik.net.id/visual/2023/02/03/film-elysium-2013-2_169.png?w=500&q=90
Apakah Penderita Diabetes Bisa Sembuh Total?,https://www.cnnindonesia.com/gaya-hidup/20230531120330-255-956181/apakah-penderita-diabetes-bisa-sembuh-total,https://akcdn.detik.net.id/visual/2020/11/09/ilustrasi-diabetes-3_169.jpeg?w=500&q=90
Kenapa Masih Muda Kena Diabetes? Ini 9 Penyebabnya,https://www.cnnindonesia.com/gaya-hidup/20230530161702-255-955872/kenapa-masih-muda-kena-diabetes-ini-9-penyebabnya,https://akcdn.detik.net.id/visual/2023/04/11/ilustrasi-pertemanan-perempuan_169.jpeg?w=500&q=90
"Udara Jakarta Lagi Tak Sehat, Waspada 5 Penyakit Akibat Polusi Ini",https://www.cnnindonesia.com/gaya-hidup/20230530173747-255-955933/udara-jakarta-lagi-tak-sehat-waspada-5-penyakit-akibat-polusi-ini,https://akcdn.detik.net.id/visual/2022/06/15/udara-jakarta-hari-ini-peringkat-terburuk-dunia-2_169.jpeg?w=500&q=90
"5 Manfaat Susu, Salah Satunya Bisa Turunkan Berat Badan",https://www.cnnindonesia.com/gaya-hidup/20230531160852-262-956352/5-manfaat-susu-salah-satunya-bisa-turunkan-berat-badan,https://akcdn.detik.net.id/visual/2021/09/09/ilustrasi-pria-minum-susu_169.jpeg?w=500&q=90
Poin-poin Aturan soal PNS Boleh Poligami,https://www.cnnindonesia.com/nasional/20230531203331-20-956502/poin-poin-aturan-soal-pns-boleh-poligami,https://akcdn.detik.net.id/visual/2019/06/01/2fe3511f-1400-40a4-98b0-452ccbe213e1_169.jpeg?w=500&q=90
"Polusi Udara Meningkat, Hindari 5 Kebiasaan yang Buat Paru-paru Lemah",https://www.cnnindonesia.com/gaya-hidup/20230531133604-255-956254/polusi-udara-meningkat-hindari-5-kebiasaan-yang-buat-paru-paru-lemah,https://akcdn.detik.net.id/visual/2020/08/26/1210040524-1_169.jpeg?w=500&q=90
Kemendag Klaim Warga Bengkalis Tak Konsumsi Daging Kerbau Ilegal,https://www.cnnindonesia.com/ekonomi/20230531141411-92-956292/kemendag-klaim-warga-bengkalis-tak-konsumsi-daging-kerbau-ilegal,https://akcdn.detik.net.id/visual/2023/05/31/logo-kementerian-perdagangan_169.jpeg?w=500&q=90
Rekan Buronan Kasus 1MDB Malaysia Meninggal usai Diinterogasi,https://www.cnnindonesia.com/internasional/20230531162733-106-956368/rekan-buronan-kasus-1mdb-malaysia-meninggal-usai-diinterogasi,https://akcdn.detik.net.id/visual/2019/11/07/b20377da-7029-4afc-a5f5-330b697ee0c1_169.jpeg?w=500&q=90
"VIDEO: Latah, Penyakit atau Sekedar Cari Perhatian?",https://www.cnnindonesia.com/tv/20230531133600-434-956253/video-latah-penyakit-atau-sekedar-cari-perhatian,https://akcdn.detik.net.id/visual/2023/05/31/latah-penyakit-atau-sekedar-cari-perhatian_169.jpeg?w=500&q=90
